sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,infection_count
Brown County,2020-02-15,7.0,6.0,0.0,0.0,0.0
Brown County,2020-02-16,9.0,6.0,4.0,-1.0,0.0
Brown County,2020-02-17,-5.0,2.0,1.0,2.0,0.0
Brown County,2020-02-18,-6.0,-4.0,1.0,1.0,0.0
Brown County,2020-02-19,0.0,3.0,2.0,0.0,0.0
Brown County,2020-02-20,3.0,1.0,2.0,0.0,0.0
Brown County,2020-02-21,4.0,-4.0,3.0,1.0,0.0
Brown County,2020-02-22,15.0,10.0,3.0,-2.0,0.0
Brown County,2020-02-23,16.0,7.0,5.0,-2.0,0.0
Brown County,2020-02-24,2.0,5.0,3.0,0.0,0.0
Brown County,2020-02-25,3.0,3.0,2.0,0.0,0.0
Brown County,2020-02-26,4.0,3.0,3.0,0.0,0.0
Brown County,2020-02-27,6.0,0.0,3.0,-1.0,0.0
Brown County,2020-02-28,6.0,-3.0,3.0,0.0,0.0
Brown County,2020-02-29,11.0,7.0,4.0,-2.0,0.0
Brown County,2020-03-01,19.0,6.0,6.0,-2.0,0.0
Brown County,2020-03-02,5.0,5.0,5.0,-1.0,0.0
Brown County,2020-03-03,7.0,6.0,0.0,0.0,0.0
Brown County,2020-03-04,6.0,6.0,3.0,-1.0,0.0
Brown County,2020-03-05,4.0,2.0,3.0,0.0,0.0
Brown County,2020-03-06,6.0,-2.0,0.0,1.0,0.0
Brown County,2020-03-07,13.0,11.0,7.0,-2.0,0.0
Brown County,2020-03-08,13.0,7.0,6.0,-1.0,0.0
Brown County,2020-03-09,-1.0,0.0,2.0,1.0,0.0
Brown County,2020-03-10,6.0,5.0,1.0,0.0,0.0
Brown County,2020-03-11,3.0,5.0,1.0,0.0,0.0
Brown County,2020-03-12,4.0,23.0,0.0,1.0,0.0
Brown County,2020-03-13,2.0,27.0,-1.0,2.0,0.0
Brown County,2020-03-14,-9.0,24.0,-1.0,2.0,0.0
Brown County,2020-03-15,-7.0,7.0,2.0,2.0,0.0
Brown County,2020-03-16,-8.0,25.0,-11.0,5.0,0.0
Brown County,2020-03-17,-19.0,20.0,-21.0,9.0,0.0
Brown County,2020-03-18,-35.0,10.0,-27.0,12.0,1.0
Brown County,2020-03-19,-42.0,-2.0,-31.0,15.0,2.0
Brown County,2020-03-20,-43.0,0.0,-33.0,18.0,2.0
Brown County,2020-03-21,-52.0,-5.0,-21.0,12.0,3.0
Brown County,2020-03-22,-52.0,-23.0,-26.0,10.0,3.0
Brown County,2020-03-23,-36.0,1.0,-36.0,15.0,3.0
Brown County,2020-03-24,-50.0,-17.0,-41.0,19.0,3.0
Brown County,2020-03-25,-56.0,-26.0,-45.0,21.0,3.0
Brown County,2020-03-26,-52.0,-23.0,-45.0,21.0,4.0
Brown County,2020-03-27,-52.0,-26.0,-45.0,24.0,5.0
Brown County,2020-03-28,-60.0,-23.0,-30.0,16.0,6.0
Brown County,2020-03-29,-56.0,-31.0,-31.0,13.0,6.0
Brown County,2020-03-30,-48.0,-20.0,-44.0,19.0,7.0
Brown County,2020-03-31,-49.0,-19.0,-47.0,20.0,9.0
Brown County,2020-04-01,-46.0,-16.0,-46.0,19.0,11.0
Brown County,2020-04-02,-45.0,-16.0,-46.0,20.0,17.0
Brown County,2020-04-03,-46.0,-18.0,-46.0,23.0,24.0
Brown County,2020-04-04,-54.0,-11.0,-34.0,14.0,24.0
Brown County,2020-04-05,-49.0,-21.0,-31.0,10.0,29.0
Brown County,2020-04-06,-46.0,-17.0,-46.0,19.0,39.0
Brown County,2020-04-07,-48.0,-17.0,-48.0,20.0,41.0
Brown County,2020-04-08,-48.0,-16.0,-47.0,20.0,41.0
Brown County,2020-04-09,-47.0,-15.0,-47.0,21.0,50.0
Brown County,2020-04-10,-47.0,-15.0,-50.0,25.0,55.0
Brown County,2020-04-11,-50.0,-1.0,-36.0,13.0,60.0
Brown County,2020-04-12,-73.0,-46.0,-42.0,13.0,68.0
Brown County,2020-04-13,-49.0,-19.0,-45.0,20.0,77.0
